State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Varanasi,Varanasi(Grain),Nasik,Vegetables,3700.0,460,510,480,02 Aug 2002
Uttar Pradesh,Varanasi,Varanasi(Grain),Nasik,Vegetables,3000.0,465,510,490,03 Aug 2002
Uttar Pradesh,Varanasi,Varanasi(Grain),Nasik,Vegetables,2200.0,475,510,500,05 Aug 2002
Uttar Pradesh,Varanasi,Varanasi(Grain),Nasik,Vegetables,2500.0,490,520,510,07 Aug 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,10.0,380,450,420,08 Aug 2002
Uttar Pradesh,Varanasi,Varanasi(Grain),Nasik,Vegetables,3500.0,500,530,520,08 Aug 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,35.0,390,440,415,09 Aug 2002
Uttar Pradesh,Lucknow,Lucknow,Red,Vegetables,200.0,0,0,515,09 Aug 2002
Uttar Pradesh,Varanasi,Varanasi(Grain),Nasik,Vegetables,4000.0,500,535,525,09 Aug 2002
Uttar Pradesh,Varanasi,Varanasi(Grain),Nasik,Vegetables,2500.0,500,530,525,10 Aug 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,36.0,390,440,420,11 Aug 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,39.0,400,450,425,12 Aug 2002
Uttar Pradesh,Lucknow,Lucknow,Red,Vegetables,155.0,0,0,505,12 Aug 2002
Uttar Pradesh,Varanasi,Varanasi(Grain),Nasik,Vegetables,3800.0,500,540,530,12 Aug 2002
Uttar Pradesh,Lucknow,Lucknow,Red,Vegetables,160.0,0,0,505,13 Aug 2002
Uttar Pradesh,Bareilly,Bareilly,Nasik,Vegetables,17.5,325,340,335,14 Aug 2002
Uttar Pradesh,Lucknow,Lucknow,Red,Vegetables,145.0,0,0,505,14 Aug 2002
Uttar Pradesh,Varanasi,Varanasi(Grain),Nasik,Vegetables,3800.0,520,540,530,14 Aug 2002
Uttar Pradesh,Bareilly,Bareilly,Nasik,Vegetables,45.0,300,350,330,16 Aug 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,15.0,400,450,425,16 Aug 2002
Uttar Pradesh,Lucknow,Lucknow,Red,Vegetables,140.0,0,0,510,16 Aug 2002
Uttar Pradesh,Bareilly,Bareilly,Local,Vegetables,17.5,305,375,340,17 Aug 2002
Uttar Pradesh,Lucknow,Lucknow,Red,Vegetables,160.0,0,0,515,17 Aug 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,23.0,410,460,445,19 Aug 2002
Uttar Pradesh,Lucknow,Lucknow,Red,Vegetables,140.0,0,0,520,19 Aug 2002
Uttar Pradesh,Shahjahanpur,Shahjahanpur,Other,Vegetables,300.0,430,515,488,19 Aug 2002
Uttar Pradesh,Shahjahanpur,Shahjahanpur,Other,Vegetables,250.0,535,575,560,20 Aug 2002
Uttar Pradesh,Bareilly,Bareilly,Nasik,Vegetables,20.0,300,375,325,21 Aug 2002
Uttar Pradesh,Shahjahanpur,Shahjahanpur,Other,Vegetables,100.0,380,450,418,21 Aug 2002
Uttar Pradesh,Kanpur,Kanpur(Grain),Other,Vegetables,40.0,0,480,475,23 Aug 2002
Uttar Pradesh,Shahjahanpur,Shahjahanpur,Red,Vegetables,150.0,450,500,480,23 Aug 2002
Uttar Pradesh,Kanpur,Kanpur(Grain),Other,Vegetables,30.0,0,490,480,24 Aug 2002
Uttar Pradesh,Shahjahanpur,Shahjahanpur,Other,Vegetables,250.0,480,525,500,24 Aug 2002
Uttar Pradesh,Kanpur,Kanpur(Grain),Other,Vegetables,40.0,0,480,470,26 Aug 2002
Uttar Pradesh,Shahjahanpur,Shahjahanpur,Other,Vegetables,150.0,400,500,450,26 Aug 2002
Uttar Pradesh,Kanpur,Kanpur(Grain),Other,Vegetables,30.0,0,480,470,27 Aug 2002
Uttar Pradesh,Shahjahanpur,Shahjahanpur,Other,Vegetables,80.0,360,480,470,27 Aug 2002
Uttar Pradesh,Kanpur,Kanpur(Grain),Other,Vegetables,20.0,0,490,480,28 Aug 2002
Uttar Pradesh,Shahjahanpur,Shahjahanpur,Other,Vegetables,125.0,370,500,485,28 Aug 2002
Uttar Pradesh,Kanpur,Kanpur(Grain),Other,Vegetables,40.0,0,495,485,29 Aug 2002
Uttar Pradesh,Shahjahanpur,Shahjahanpur,Other,Vegetables,200.0,380,510,490,29 Aug 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,26.0,400,460,435,31 Aug 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,44.0,325,350,340,03 Jul 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,38.0,280,330,310,05 Jul 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,50.0,300,350,330,15 Jul 2002
Uttar Pradesh,Varanasi,Varanasi(Grain),Nasik,Vegetables,3700.0,460,500,475,16 Jul 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,42.0,300,380,360,19 Jul 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,35.0,380,400,390,22 Jul 2002
Uttar Pradesh,Ghaziabad,Ghaziabad,Red,Vegetables,29.0,380,410,395,25 Jul 2002
