State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Auraiya,Achalda,Red,Vegetables,18.0,0,0,1150,01 Apr 2016
Uttar Pradesh,Etah,Aliganj,Red,Vegetables,4.0,900,950,920,01 Apr 2016
Uttar Pradesh,Aligarh,Aligarh,Dry F.A.Q.,Vegetables,75.0,1100,1200,1150,01 Apr 2016
Uttar Pradesh,Allahabad,Allahabad,Local,Vegetables,300.0,0,0,1150,01 Apr 2016
Uttar Pradesh,Maharajganj,Anandnagar,Red,Vegetables,20.0,1200,1450,1350,01 Apr 2016
Uttar Pradesh,Auraiya,Auraiya,Red,Vegetables,1.5,0,0,1140,01 Apr 2016
Uttar Pradesh,Banda,Baberu,Other,Vegetables,3.0,900,975,925,01 Apr 2016
Uttar Pradesh,Badaun,Badayoun,Red,Vegetables,16.0,700,800,750,01 Apr 2016
Uttar Pradesh,Bahraich,Bahraich,Red,Vegetables,39.0,915,950,935,01 Apr 2016
Uttar Pradesh,Ballia,Ballia,Red,Vegetables,50.0,1000,1100,1025,01 Apr 2016
Uttar Pradesh,Banda,Banda,Local,Vegetables,15.5,0,0,900,01 Apr 2016
Uttar Pradesh,Barabanki,Barabanki,Red,Vegetables,34.0,1080,1125,1100,01 Apr 2016
Uttar Pradesh,Bareilly,Bareilly,Dry F.A.Q.,Vegetables,111.0,0,0,900,01 Apr 2016
Uttar Pradesh,Basti,Basti,Red,Vegetables,18.5,1120,1220,1170,01 Apr 2016
Uttar Pradesh,Hamirpur,Bharuasumerpur,Red,Vegetables,1.0,0,0,950,01 Apr 2016
Uttar Pradesh,Fatehpur,Bindki,Red,Vegetables,40.0,0,0,845,01 Apr 2016
Uttar Pradesh,Kannuj,Chhibramau(Kannuj),Red,Vegetables,6.0,0,0,900,01 Apr 2016
Uttar Pradesh,Deoria,Devariya,Red,Vegetables,80.0,1100,1150,1125,01 Apr 2016
Uttar Pradesh,Etawah,Etawah,Red,Vegetables,17.0,0,0,1000,01 Apr 2016
Uttar Pradesh,Faizabad,Faizabad,Red,Vegetables,20.0,950,1050,1000,01 Apr 2016
Uttar Pradesh,Farukhabad,Farukhabad,Red,Vegetables,7.0,0,0,900,01 Apr 2016
Uttar Pradesh,Fatehpur,Fatehpur,Red,Vegetables,50.0,0,0,1060,01 Apr 2016
Uttar Pradesh,Firozabad,Firozabad,Red,Vegetables,4.8,0,0,970,01 Apr 2016
Uttar Pradesh,Ghazipur,Gazipur,Red,Vegetables,26.0,1070,1130,1100,01 Apr 2016
Uttar Pradesh,Gonda,Gonda,Red,Vegetables,9.4,1000,1100,1050,01 Apr 2016
Uttar Pradesh,Gorakhpur,Gorakhpur,Red,Vegetables,130.0,1180,1240,1200,01 Apr 2016
Uttar Pradesh,Bulandshahar,Gulavati,Red,Vegetables,1.5,0,0,860,01 Apr 2016
Uttar Pradesh,Hardoi,Hardoi,Other,Vegetables,11.0,950,970,960,01 Apr 2016
Uttar Pradesh,Fatehpur,Jahanabad,Pusa-Red,Vegetables,23.0,700,800,750,01 Apr 2016
Uttar Pradesh,Jalaun (Orai),Jalaun,Other,Vegetables,1.2,0,0,600,01 Apr 2016
Uttar Pradesh,Jaunpur,Jaunpur,Other,Vegetables,55.0,1050,1125,1070,01 Apr 2016
Uttar Pradesh,Raebarelli,Jayas,Red,Vegetables,20.0,1140,1160,1150,01 Apr 2016
Uttar Pradesh,Kannuj,Kannauj,Red,Vegetables,11.5,0,0,1060,01 Apr 2016
Uttar Pradesh,Kanpur,Kanpur(Grain),Red,Vegetables,210.0,0,0,1125,01 Apr 2016
Uttar Pradesh,Aligarh,Khair,Red,Vegetables,10.0,1130,1210,1170,01 Apr 2016
Uttar Pradesh,Agra,Khairagarh,Red,Vegetables,6.0,0,0,1000,01 Apr 2016
Uttar Pradesh,Jalaun (Orai),Konch,Other,Vegetables,30.0,0,0,800,01 Apr 2016
Uttar Pradesh,Lucknow,Lucknow,Red,Vegetables,173.0,800,1100,1000,01 Apr 2016
Uttar Pradesh,Hardoi,Madhoganj,Red,Vegetables,6.0,950,1050,1000,01 Apr 2016
Uttar Pradesh,Mahoba,Mahoba,Other,Vegetables,7.4,0,0,850,01 Apr 2016
Uttar Pradesh,Mainpuri,Mainpuri,Red,Vegetables,25.0,0,0,925,01 Apr 2016
Uttar Pradesh,Meerut,Mawana,Red,Vegetables,1.6,0,0,980,01 Apr 2016
Uttar Pradesh,Meerut,Meerut,Red,Vegetables,15.0,0,0,1105,01 Apr 2016
Uttar Pradesh,Mirzapur,Mirzapur,Dry F.A.Q.,Vegetables,15.0,1020,1110,1070,01 Apr 2016
Uttar Pradesh,Muradabad,Muradabad,Dry F.A.Q.,Vegetables,30.0,0,0,900,01 Apr 2016
Uttar Pradesh,Muzaffarnagar,Muzzafarnagar,Onion,Vegetables,22.0,0,0,1030,01 Apr 2016
