State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Agra,Achnera,Other,Vegetables,2.4,700.0,850,800,01 Apr 2010
Uttar Pradesh,Mirzapur,Ahirora,Other,Vegetables,8.0,815.0,860,835,01 Apr 2010
Uttar Pradesh,Allahabad,Ajuha,Red,Vegetables,14.0,0.0,0,650,01 Apr 2010
Uttar Pradesh,Etah,Aliganj,Other,Vegetables,4.0,825.0,900,840,01 Apr 2010
Uttar Pradesh,Aligarh,Aligarh,Other,Vegetables,52.0,900.0,980,940,01 Apr 2010
Uttar Pradesh,Allahabad,Allahabad,Other,Vegetables,200.0,0.0,0,700,01 Apr 2010
Uttar Pradesh,Maharajganj,Anandnagar,Other,Vegetables,0.55,0.0,0,850,01 Apr 2010
Uttar Pradesh,Banda,Atarra,Local,Vegetables,7.0,0.0,1000,0,01 Apr 2010
Uttar Pradesh,Auraiya,Auraiya,Red,Vegetables,9.0,0.0,0,700,01 Apr 2010
Uttar Pradesh,Etah,Awagarh,Other,Vegetables,2.4,750.0,850,800,01 Apr 2010
Uttar Pradesh,Azamgarh,Azamgarh,Other,Vegetables,14.0,790.0,810,800,01 Apr 2010
Uttar Pradesh,Badaun,Badayoun,Other,Vegetables,7.5,0.0,0,1075,01 Apr 2010
Uttar Pradesh,Bahraich,Bahraich,Red,Vegetables,175.0,740.0,760,750,01 Apr 2010
Uttar Pradesh,Ballia,Ballia,Other,Vegetables,68.0,0.0,0,750,01 Apr 2010
Uttar Pradesh,Balrampur,Balrampur,Other,Vegetables,17.5,750.0,850,770,01 Apr 2010
Uttar Pradesh,Barabanki,Barabanki,Red,Vegetables,12.0,870.0,920,900,01 Apr 2010
Uttar Pradesh,Baghpat,Baraut,Beelary-Red,Vegetables,4.0,0.0,0,840,01 Apr 2010
Uttar Pradesh,Bareilly,Bareilly,Red,Vegetables,17.0,0.0,0,970,01 Apr 2010
Uttar Pradesh,Basti,Basti,Other,Vegetables,8.5,0.0,0,800,01 Apr 2010
Uttar Pradesh,Muradabad,Bhehjoi,Other,Vegetables,2.9,0.0,0,760,01 Apr 2010
Uttar Pradesh,Bijnor,Bijnaur,Red,Vegetables,4.0,0.0,0,900,01 Apr 2010
Uttar Pradesh,Muradabad,Chandausi,Medium,Vegetables,4.0,0.0,0,1150,01 Apr 2010
Uttar Pradesh,Chandauli,Chandoli,Other,Vegetables,5.0,0.0,0,720,01 Apr 2010
Uttar Pradesh,Aligarh,Charra,Other,Vegetables,8.0,900.0,920,910,01 Apr 2010
Uttar Pradesh,Jhansi,Chirgaon,Other,Vegetables,0.3,0.0,0,900,01 Apr 2010
Uttar Pradesh,Ballia,Chitwadagaon,Red,Vegetables,6.5,0.0,0,775,01 Apr 2010
Uttar Pradesh,Saharanpur,Devband,Other,Vegetables,3.0,900.0,1200,1040,01 Apr 2010
Uttar Pradesh,Sonbhadra,Dudhi,Red,Vegetables,11.0,0.0,0,930,01 Apr 2010
Uttar Pradesh,Etawah,Etawah,Red,Vegetables,18.0,1050.0,1085,1070,01 Apr 2010
Uttar Pradesh,Faizabad,Faizabad,Other,Vegetables,16.5,840.0,860,850,01 Apr 2010
Uttar Pradesh,Farukhabad,Farukhabad,Other,Vegetables,13.5,0.0,0,950,01 Apr 2010
Uttar Pradesh,Agra,Fatehpur Sikri,Other,Vegetables,2.6,750.0,850,800,01 Apr 2010
Uttar Pradesh,Maharajganj,Gadaura,Dry F.A.Q.,Vegetables,18.0,0.0,0,850,01 Apr 2010
Uttar Pradesh,Saharanpur,Gangoh,Other,Vegetables,10.0,950.0,1050,1000,01 Apr 2010
Uttar Pradesh,Ghazipur,Gazipur,Other,Vegetables,45.0,725.0,775,750,01 Apr 2010
Uttar Pradesh,Ghaziabad,Ghaziabad,Other,Vegetables,6.0,0.0,0,900,01 Apr 2010
Uttar Pradesh,Gorakhpur,Gorakhpur,Red,Vegetables,110.0,0.0,0,860,01 Apr 2010
Uttar Pradesh,Hathras,Haathras,Red,Vegetables,29.0,675.0,900,800,01 Apr 2010
Uttar Pradesh,Bijnor,Haldaur,Other,Vegetables,0.7,0.0,0,750,01 Apr 2010
Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,Red,Vegetables,7.0,0.0,0,745,01 Apr 2010
Uttar Pradesh,Agra,Jagnair,Other,Vegetables,2.0,700.0,800,800,01 Apr 2010
Uttar Pradesh,Fatehpur,Jahanabad,Nasik,Vegetables,0.7,0.0,0,720,01 Apr 2010
Uttar Pradesh,Bulandshahar,Jahangirabad,Other,Vegetables,0.8,700.0,900,800,01 Apr 2010
Uttar Pradesh,Shahjahanpur,Jalalabad,Other,Vegetables,1.2,0.0,0,1010,01 Apr 2010
Uttar Pradesh,Jalaun (Orai),Jalaun,Other,Vegetables,3.0,0.0,0,400,01 Apr 2010
Uttar Pradesh,Agra,Jarar,Other,Vegetables,2.4,700.0,800,800,01 Apr 2010
Uttar Pradesh,Allahabad,Jasra,Red,Vegetables,30.0,0.0,0,700,01 Apr 2010
Uttar Pradesh,Etawah,Jasvantnagar,Other,Vegetables,2.5,1225.0,1250,1235,01 Apr 2010
Uttar Pradesh,Jaunpur,Jaunpur,Other,Vegetables,300.0,0.0,0,775,01 Apr 2010
Uttar Pradesh,Jhansi,Jhansi,Other,Vegetables,50.0,0.0,0,520,01 Apr 2010
Uttar Pradesh,Etah,Kasganj,Other,Vegetables,1.2,1075.0,1110,1100,01 Apr 2010
Uttar Pradesh,Agra,Khairagarh,Other,Vegetables,1.7,700.0,800,800,01 Apr 2010
Uttar Pradesh,Fatehpur,Kishunpur,Red,Vegetables,2.5,0.0,0,700,01 Apr 2010
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj,Red,Vegetables,2.0,0.0,0,930,01 Apr 2010
Uttar Pradesh,Lakhimpur,Lakhimpur,Red,Vegetables,10.0,800.0,820,810,01 Apr 2010
Uttar Pradesh,Lalitpur,Lalitpur,Other,Vegetables,4.0,0.0,0,835,01 Apr 2010
Uttar Pradesh,Lucknow,Lucknow,Red,Vegetables,38.0,0.0,0,700,01 Apr 2010
Uttar Pradesh,Mahoba,Mahoba,Other,Vegetables,12.0,0.0,0,800,01 Apr 2010
Uttar Pradesh,Chitrakut,Mau(Chitrakut),Other,Vegetables,4.0,0.0,0,850,01 Apr 2010
Uttar Pradesh,Meerut,Mawana,Other,Vegetables,1.0,0.0,0,750,01 Apr 2010
Uttar Pradesh,Sitapur,Mehmoodabad,Other,Vegetables,0.4,1000.0,1100,1050,01 Apr 2010
Uttar Pradesh,Mirzapur,Mirzapur,Red,Vegetables,9.0,0.0,0,700,01 Apr 2010
Uttar Pradesh,Muradabad,Muradabad,Other,Vegetables,45.0,0.0,0,710,01 Apr 2010
Uttar Pradesh,Siddharth Nagar,Naugarh,Other,Vegetables,3.5,0.0,0,850,01 Apr 2010
Uttar Pradesh,Jalaun (Orai),Orai,Other,Vegetables,7.5,0.0,0,900,01 Apr 2010
Uttar Pradesh,Maharajganj,Partaval,Red,Vegetables,30.0,0.0,0,870,01 Apr 2010
Uttar Pradesh,Pillibhit,Pilibhit,Red,Vegetables,400.0,0.0,0,784,01 Apr 2010
Uttar Pradesh,Kanpur,Pukhrayan,Red,Vegetables,4.0,0.0,0,1030,01 Apr 2010
Uttar Pradesh,Unnao,Purwa,Other,Vegetables,0.2,800.0,900,850,01 Apr 2010
Uttar Pradesh,Raebarelli,Raibareilly,Other,Vegetables,12.0,750.0,770,760,01 Apr 2010
Uttar Pradesh,Rampur,Rampur,Other,Vegetables,3.0,0.0,0,890,01 Apr 2010
Uttar Pradesh,Saharanpur,Rampurmaniharan,Other,Vegetables,7.0,850.0,910,900,01 Apr 2010
Uttar Pradesh,Sonbhadra,Robertsganj,Red,Vegetables,10.0,0.0,0,700,01 Apr 2010
Uttar Pradesh,Muradabad,Sambhal,Other,Vegetables,6.0,0.0,720,0,01 Apr 2010
Uttar Pradesh,Agra,Samsabad,Other,Vegetables,2.1,700.0,810,805,01 Apr 2010
Uttar Pradesh,Hathras,Shadabad,Other,Vegetables,2.0,700.0,810,805,01 Apr 2010
Uttar Pradesh,Shahjahanpur,Shahjahanpur,Red,Vegetables,16.5,985.0,1025,1000,01 Apr 2010
Uttar Pradesh,Hathras,Sikandraraau,Other,Vegetables,3.0,950.0,1000,980,01 Apr 2010
Uttar Pradesh,Bulandshahar,Sikarpur,Other,Vegetables,0.3,570.0,640,600,01 Apr 2010
Uttar Pradesh,Sitapur,Sitapur,Other,Vegetables,40.0,850.0,925,900,01 Apr 2010
Uttar Pradesh,Siddharth Nagar,Soharatgarh,Other,Vegetables,6.9,0.0,600,500,01 Apr 2010
Uttar Pradesh,Sultanpur,Sultanpur,Other,Vegetables,45.0,700.0,790,775,01 Apr 2010
Uttar Pradesh,Padrauna(Kusinagar),Tamkuhi Road,Red,Vegetables,37.5,0.0,0,900,01 Apr 2010
Uttar Pradesh,Ambedkarnagar,Tanda,Small,Vegetables,0.6,0.0,0,1060,01 Apr 2010
Uttar Pradesh,Shahjahanpur,Tilhar,Other,Vegetables,1.5,0.0,0,1180,01 Apr 2010
Uttar Pradesh,Firozabad,Tundla,Other,Vegetables,1.8,750.0,850,800,01 Apr 2010
Uttar Pradesh,Unnao,Unnao,Red,Vegetables,2.2,710.0,750,725,01 Apr 2010
Uttar Pradesh,Varanasi,Varanasi(Grain),Other,Vegetables,350.0,700.0,800,750,01 Apr 2010
Uttar Pradesh,Kanpur,Varipaal,Red,Vegetables,0.4,930.0,970,950,01 Apr 2010
Uttar Pradesh,Ballia,Vilthararoad,Other,Vegetables,10.0,0.0,0,750,01 Apr 2010
Uttar Pradesh,Pillibhit,Vishalpur,Other,Vegetables,0.7,0.0,0,900,01 Apr 2010
Uttar Pradesh,Agra,Agra,Other,Vegetables,420.0,900.0,1000,980,02 Apr 2010
Uttar Pradesh,Mirzapur,Ahirora,Other,Vegetables,8.5,810.0,860,830,02 Apr 2010
Uttar Pradesh,Etah,Aliganj,Other,Vegetables,4.2,825.0,900,840,02 Apr 2010
Uttar Pradesh,Aligarh,Aligarh,Other,Vegetables,50.0,890.0,960,920,02 Apr 2010
Uttar Pradesh,Jyotiba Phule Nagar,Amroha,Red,Vegetables,2.0,0.0,0,750,02 Apr 2010
Uttar Pradesh,Auraiya,Auraiya,Red,Vegetables,12.0,0.0,0,690,02 Apr 2010
Uttar Pradesh,Raebarelli,Bachranwa,Other,Vegetables,0.8,0.0,0,800,02 Apr 2010
Uttar Pradesh,Bareilly,Bahedi,Other,Vegetables,14.0,0.0,0,810,02 Apr 2010
Uttar Pradesh,Bahraich,Bahraich,Red,Vegetables,160.0,760.0,775,765,02 Apr 2010
Uttar Pradesh,Ballia,Ballia,Other,Vegetables,55.0,0.0,0,750,02 Apr 2010
Uttar Pradesh,Balrampur,Balrampur,Other,Vegetables,20.0,700.0,775,725,02 Apr 2010
Uttar Pradesh,Barabanki,Barabanki,Red,Vegetables,13.0,900.0,925,915,02 Apr 2010
Uttar Pradesh,Baghpat,Baraut,Beelary-Red,Vegetables,27.0,0.0,0,810,02 Apr 2010
Uttar Pradesh,Bareilly,Bareilly,Red,Vegetables,18.5,0.0,0,925,02 Apr 2010
Uttar Pradesh,Basti,Basti,Other,Vegetables,6.0,0.0,0,800,02 Apr 2010
Uttar Pradesh,Muradabad,Bhehjoi,Other,Vegetables,4.0,0.0,0,745,02 Apr 2010
Uttar Pradesh,Bijnor,Bijnaur,Red,Vegetables,3.5,0.0,0,910,02 Apr 2010
Uttar Pradesh,Badaun,Bilsi,Other,Vegetables,2.0,750.0,850,800,02 Apr 2010
Uttar Pradesh,Bulandshahar,Buland Shahr,Other,Vegetables,5.0,600.0,850,800,02 Apr 2010
Uttar Pradesh,Chandauli,Chandoli,Other,Vegetables,4.0,0.0,0,715,02 Apr 2010
Uttar Pradesh,Mahoba,Charkhari,Other,Vegetables,2.0,0.0,0,500,02 Apr 2010
Uttar Pradesh,Aligarh,Charra,Other,Vegetables,8.0,900.0,920,910,02 Apr 2010
Uttar Pradesh,Jhansi,Chirgaon,Other,Vegetables,0.3,0.0,0,900,02 Apr 2010
Uttar Pradesh,Deoria,Devariya,Red,Vegetables,71.0,0.0,0,880,02 Apr 2010
Uttar Pradesh,Saharanpur,Devband,Other,Vegetables,4.0,800.0,1050,1020,02 Apr 2010
Uttar Pradesh,Jyotiba Phule Nagar,Dhanura,Other,Vegetables,2.0,0.0,0,760,02 Apr 2010
