State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Mirzapur,Ahirora,Red,Vegetables,140.0,690,730,710,01 Apr 2011
Uttar Pradesh,Aligarh,Aligarh,Other,Vegetables,52.0,660,750,700,01 Apr 2011
Uttar Pradesh,Allahabad,Allahabad,Red,Vegetables,120.0,0,0,775,01 Apr 2011
Uttar Pradesh,Auraiya,Auraiya,Red,Vegetables,8.0,0,0,590,01 Apr 2011
Uttar Pradesh,Badaun,Badayoun,Other,Vegetables,5.0,0,0,550,01 Apr 2011
Uttar Pradesh,Bahraich,Bahraich,Red,Vegetables,26.0,600,675,640,01 Apr 2011
Uttar Pradesh,Ballia,Ballia,Red,Vegetables,26.0,0,0,670,01 Apr 2011
Uttar Pradesh,Balrampur,Balrampur,Other,Vegetables,35.0,650,670,660,01 Apr 2011
Uttar Pradesh,Banda,Banda,Onion,Vegetables,40.0,0,0,750,01 Apr 2011
Uttar Pradesh,Unnao,Bangarmau,Other,Vegetables,0.4,0,0,650,01 Apr 2011
Uttar Pradesh,Barabanki,Barabanki,Onion,Vegetables,17.0,680,720,700,01 Apr 2011
Uttar Pradesh,Baghpat,Baraut,Other,Vegetables,9.0,0,0,590,01 Apr 2011
Uttar Pradesh,Bareilly,Bareilly,Red,Vegetables,66.8,0,0,600,01 Apr 2011
Uttar Pradesh,Bijnor,Bijnaur,Other,Vegetables,2.0,0,0,740,01 Apr 2011
Uttar Pradesh,Fatehpur,Bindki,Red,Vegetables,13.7,720,750,735,01 Apr 2011
Uttar Pradesh,Muradabad,Chandausi,Other,Vegetables,4.0,0,0,650,01 Apr 2011
Uttar Pradesh,Chandauli,Chandoli,Other,Vegetables,5.0,0,0,660,01 Apr 2011
Uttar Pradesh,Aligarh,Charra,Other,Vegetables,5.0,670,690,680,01 Apr 2011
Uttar Pradesh,Kannuj,Chhibramau(Kannuj),Red,Vegetables,7.0,660,700,680,01 Apr 2011
Uttar Pradesh,Sonbhadra,Dudhi,Other,Vegetables,30.0,0,0,700,01 Apr 2011
Uttar Pradesh,Etawah,Etawah,Red,Vegetables,17.5,520,560,540,01 Apr 2011
Uttar Pradesh,Faizabad,Faizabad,Other,Vegetables,10.5,635,665,650,01 Apr 2011
Uttar Pradesh,Farukhabad,Farukhabad,Red,Vegetables,4.5,0,0,680,01 Apr 2011
Uttar Pradesh,Agra,Fatehpur Sikri,Other,Vegetables,0.5,750,850,820,01 Apr 2011
Uttar Pradesh,Firozabad,Firozabad,Other,Vegetables,8.0,500,800,600,01 Apr 2011
Uttar Pradesh,Saharanpur,Gangoh,Other,Vegetables,4.0,500,700,620,01 Apr 2011
Uttar Pradesh,Ghazipur,Gazipur,Other,Vegetables,10.0,650,700,675,01 Apr 2011
Uttar Pradesh,Ghaziabad,Ghaziabad,Other,Vegetables,120.0,0,0,510,01 Apr 2011
Uttar Pradesh,Gonda,Gonda,Other,Vegetables,68.0,660,680,670,01 Apr 2011
Uttar Pradesh,Gorakhpur,Gorakhpur,Red,Vegetables,240.0,0,0,680,01 Apr 2011
Uttar Pradesh,Ghaziabad,Hapur,Other,Vegetables,4.0,550,650,600,01 Apr 2011
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Other,Vegetables,1.0,600,800,750,01 Apr 2011
Uttar Pradesh,Jyotiba Phule Nagar,Hasanpur,Red,Vegetables,1.0,0,0,580,01 Apr 2011
Uttar Pradesh,Agra,Jagnair,Other,Vegetables,0.2,700,750,725,01 Apr 2011
Uttar Pradesh,Fatehpur,Jahanabad,Nasik,Vegetables,0.8,0,0,610,01 Apr 2011
Uttar Pradesh,Jalaun (Orai),Jalaun,Other,Vegetables,2.0,0,0,600,01 Apr 2011
Uttar Pradesh,Allahabad,Jasra,Red,Vegetables,6.5,0,0,760,01 Apr 2011
Uttar Pradesh,Etawah,Jasvantnagar,Other,Vegetables,0.6,560,580,570,01 Apr 2011
Uttar Pradesh,Jaunpur,Jaunpur,Other,Vegetables,300.0,0,0,600,01 Apr 2011
Uttar Pradesh,Jhansi,Jhansi,Red,Vegetables,50.0,0,0,500,01 Apr 2011
Uttar Pradesh,Jalaun (Orai),Kalpi,Other,Vegetables,3.0,0,0,550,01 Apr 2011
Uttar Pradesh,Farukhabad,Kamlaganj,Red,Vegetables,16.0,740,780,760,01 Apr 2011
Uttar Pradesh,Kannuj,Kannauj,Red,Vegetables,3.0,730,770,750,01 Apr 2011
Uttar Pradesh,Kanpur,Kanpur(Grain),Red,Vegetables,110.0,680,720,700,01 Apr 2011
Uttar Pradesh,Etah,Kasganj,Other,Vegetables,0.9,725,770,730,01 Apr 2011
Uttar Pradesh,Farukhabad,Kayamganj,Red,Vegetables,29.0,650,690,670,01 Apr 2011
Uttar Pradesh,Aligarh,Khair,Other,Vegetables,5.0,650,750,700,01 Apr 2011
Uttar Pradesh,Agra,Khairagarh,Other,Vegetables,2.0,780,800,790,01 Apr 2011
Uttar Pradesh,Sant Kabir Nagar,Khalilabad,Other,Vegetables,8.0,0,0,690,01 Apr 2011
